,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3621,2022-03-19 13:54:11+00:00,MULTIMEDIA | La huelga del Transporte hace que algunos productos vuelvan a escasear en los supermercados de la capital | La falta de productos no es extensible a todo el comercio de alimentación https://t.co/T2DYccPSkl | #leonesp #leonoticias,multimedia   la huelga del transporte hace que algunos productos vuelvan a escasear en los supermercados de la capital   la falta de productos no es extensible a todo el comercio de alimentaci n      leonesp  leonoticias,leonoticias_,es,0,0,2009-05-06 22:17:56+00:00,50444,False,1577,"León, España",,1505180838958358535
3622,2022-03-19 13:53:57+00:00,"@Newtral @_anapastor_ ¿Y cuando vaa a hablar del caos de la huelga de transporte?

¿Y de la condena a la Fiscalia socialista?

Déjate de derechas y ultraderechas.Quien gobierna es la izquierda",    anapastor   y cuando vaa a hablar del caos de la huelga de transporte    y de la condena a la fiscalia socialista   d jate de derechas y ultraderechas quien gobierna es la izquierda,Democracia__Ley,es,1,0,2020-01-28 19:28:33+00:00,287,False,2701,,,1505180781597048839
3632,2022-03-19 13:52:09+00:00,"La industria se resiente por la huelga de transportes y el Gobierno de Cantabria reclama “medidas urgentes” al Estado y a la UE

@GrupoOET 

https://t.co/bAebGiin6Z
#llantas #transporte #logistica #internacional #economia https://t.co/7WmaCWcXFB",la industria se resiente por la huelga de transportes y el gobierno de cantabria reclama  medidas urgentes  al estado y a la ue         llantas  transporte  logistica  internacional  economia  ,eltransportecom,es,0,0,2010-03-30 01:54:18+00:00,3741,False,31,,,1505180327869886465
3648,2022-03-19 13:50:07+00:00,RT @AntonioArnau1: @aniviiri @lolamontavez @vigobulldog Impedir transporte d Alimentos esta prohibido por la Ley. Si hay Industrias Lácteas…,       impedir transporte d alimentos esta prohibido por la ley  si hay industrias l cteas ,mteresapina,es,0,19,2017-06-03 15:59:09+00:00,162,False,9628,,,1505179816546476036
3650,2022-03-19 13:50:01+00:00,"La huelga del sector del transporte sigue poniendo contra las cuerdas, y cada vez más, a los mercados. En abastecimiento de pescado en Mercacórdoba sigue bajo mínimos y este sábado apenas ha entrado un 20 por ciento #CórdobaEsp https://t.co/jbI5W80nJ1",la huelga del sector del transporte sigue poniendo contra las cuerdas  y cada vez m s  a los mercados  en abastecimiento de pescado en mercac rdoba sigue bajo m nimos y este s bado apenas ha entrado un 20 por ciento  c rdobaesp  ,abccordoba,es,0,0,2012-02-14 10:54:48+00:00,24034,True,1614,Córdoba,,1505179789891624967
3654,2022-03-19 13:49:25+00:00,"@Oviedocityy Empresarios con uno o dos camiones? Y que ellos son los que llevan su camion y despues sepinen con los papeles y los contratos de transporte
 Todo mi respaldo, las empresas de mas de 20 camiones seguro que  no están apoyando esta huelga",  empresarios con uno o dos camiones  y que ellos son los que llevan su camion y despues sepinen con los papeles y los contratos de transporte  todo mi respaldo  las empresas de mas de 20 camiones seguro que  no est n apoyando esta huelga,DeTodoUnNada,es,6,0,2014-09-12 16:50:16+00:00,1476,False,84150,,,1505179640247238658
3658,2022-03-19 13:49:08+00:00,"La Ganadería Os Agros de Frieiro, en Santa Comba, es un ejemplo de las granjas gallegas gravemente afectadas por la huelga de transporte. Se ha visto obligada a reducir el alimento de los animales 👇 https://t.co/hNKLScmP6e",la ganader a os agros de frieiro  en santa comba  es un ejemplo de las granjas gallegas gravemente afectadas por la huelga de transporte  se ha visto obligada a reducir el alimento de los animales    ,lavozdegalicia,es,6,7,2009-05-08 10:24:54+00:00,394796,True,120,Galicia | España,,1505179567039946756
3674,2022-03-19 13:46:12+00:00,"@agarzon En serio Alberto, qué decepción continua contigo...te admiraba, dónde está tu postura frente a una huelga que está esquilmando a los trabajadores de este país, porque detrás del transporte vamos muchos...no tienes nada qué decir?",  en serio alberto  qu  decepci n continua contigo   te admiraba  d nde est  tu postura frente a una huelga que est  esquilmando a los trabajadores de este pa s  porque detr s del transporte vamos muchos   no tienes nada qu  decir ,Satine2000,es,0,0,2021-04-13 19:21:35+00:00,27,False,3914,,,1505178827567337475
3678,2022-03-19 13:45:43+00:00,"@_traci_a @estrellagalicia Estoy en contra de obligar a alguien a hacer una huelga ... pero una compañía como esta debería ser solidaria con las millones de personas del transporte, ganadería o agricultura que no son tan afortunados. O al menos permanecer callados.",  traci a   estoy en contra de obligar a alguien a hacer una huelga     pero una compa  a como esta deber a ser solidaria con las millones de personas del transporte  ganader a o agricultura que no son tan afortunados  o al menos permanecer callados ,bartlebyt,es,1,0,2011-11-12 19:07:47+00:00,1554,False,125157,madrid SPAIN ,,1505178706670755845
3680,2022-03-19 13:45:02+00:00,Un camionero detenido y 62 denunciados en la Región de Murcia por la acción de los piquetes en la huelga de transporte https://t.co/QTEYDRcHC8,un camionero detenido y 62 denunciados en la regi n de murcia por la acci n de los piquetes en la huelga de transporte  ,laverdad_es,es,9,0,2009-06-05 14:05:36+00:00,185095,True,189,Región de Murcia,,1505178535677288451
