,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3706,2022-03-18 18:20:54+00:00,"@vigobulldog Hay días tontos y tontos a diario. Lo mindundis que promueven esta huelga no dan ni para media neurona. Las grandes empresas de transporte se están frotando las manos con la de pequeños transportistas que van a caer por parar estos días. En fin, lo de siempre.",  hay d as tontos y tontos a diario  lo mindundis que promueven esta huelga no dan ni para media neurona  las grandes empresas de transporte se est n frotando las manos con la de peque os transportistas que van a caer por parar estos d as  en fin  lo de siempre ,natxuco,es,2,0,2020-04-27 08:55:38+00:00,1011,False,6066,Kantabria,,1504885572862631936
3708,2022-03-18 18:20:45+00:00,Corte simbólico de piquetes y sin incidentes de la A-6 en Guitiriz (Lugo) por la huelga del transporte https://t.co/Qhu8hRPvLr,corte simb lico de piquetes y sin incidentes de la a 6 en guitiriz  lugo  por la huelga del transporte  ,EPGalicia,es,0,0,2010-12-28 17:16:48+00:00,25122,False,6,Galicia,,1504885533159440390
3717,2022-03-18 18:20:14+00:00,Huelga de Transporte Empresas 18/03/2022 https://t.co/na9XTuJtWu,huelga de transporte empresas 18 03 2022  ,teleminho,es,0,0,2011-11-10 11:27:46+00:00,4110,False,89,Ourense,,1504885402464886785
3721,2022-03-18 18:19:59+00:00,"Después de la huelga de transporte , vendrá la del campo , todo promovido por los partidos fascistas con la intención de erosionar al gobierno",despu s de la huelga de transporte   vendr  la del campo   todo promovido por los partidos fascistas con la intenci n de erosionar al gobierno,AndaluciaSinVOX,es,494,220,2018-12-04 17:56:12+00:00,26649,False,53093,,,1504885341303586820
3729,2022-03-18 18:19:04+00:00,"Para saber quién está al subvencionado servicio de Sánchez, basta comprobar si repiten compungidos la increíble historieta de que la extrema derecha es capaz de organizar una huelga en el transporte que no para de crecer.  Es una burda cortina de humo que no se creen ni ellos.",para saber qui n est  al subvencionado servicio de s nchez  basta comprobar si repiten compungidos la incre ble historieta de que la extrema derecha es capaz de organizar una huelga en el transporte que no para de crecer   es una burda cortina de humo que no se creen ni ellos ,galeote_irreden,es,6,1,2020-04-10 11:22:54+00:00,806,False,3261,,,1504885109744353284
3730,2022-03-18 18:19:01+00:00,No olvidéis que la huelga del transporte no es SOLAMENTE por el combustible.,no olvid is que la huelga del transporte no es solamente por el combustible ,blackbirdESP,es,9,2,2019-10-20 19:15:44+00:00,3092,False,941,,,1504885098126233604
3731,2022-03-18 18:18:58+00:00,"RT @vanesantos09: El país se va a la ruina, los trabajadores no pueden más, mañana empieza la huelga indefinida del transporte y los sindic…", el pa s se va a la ruina  los trabajadores no pueden m s  ma ana empieza la huelga indefinida del transporte y los sindic ,ala_bol,es,0,81,2013-07-27 00:34:24+00:00,43,False,5675,Lanzarote ,,1504885085719437317
3740,2022-03-18 18:18:24+00:00,"RT @VozHispanica: @ElGato_Fisgon ❗ELECCIONES ANTICIPADAS O HUELGA GENERAL INDEFINIDA❗
#GobiernoalaputacalleYA #HuelgaTransporte #huelgatran…",   fisgon  elecciones anticipadas o huelga general indefinida   gobiernoalaputacalleya  huelgatransporte  huelgatran ,Alberto6171,es,0,1,2019-09-06 08:51:15+00:00,100,False,8486,,,1504884943083782149
3744,2022-03-18 18:18:12+00:00,"El precio del combustible, las tarifas del transporte… los participantes piden que se apoye a los transportistas «en vez de castigarlos»
@hirusindikatua #transporte #huelga
https://t.co/6VGcsW0aNn",el precio del combustible  las tarifas del transporte  los participantes piden que se apoye a los transportistas  en vez de castigarlos     transporte  huelga  ,donosti_tik,es,1,1,2016-09-10 15:09:05+00:00,3449,False,535,Donostia / San Sebastián,,1504884892735262725
3763,2022-03-18 18:17:01+00:00,"Apoyarían la huelga del transporte en las condiciones en que está ahora la economía el PSOE, UPODEMOS, CCOO y UGT si gobernase el PP???
Todo el mundo sabe que SI, hasta ellos mismos.
¿A quién pretenden engañar estos sinvergüenzas?
No creo que engañen ni a sus propios votantes",apoyar an la huelga del transporte en las condiciones en que est  ahora la econom a el psoe  upodemos  ccoo y ugt si gobernase el pp    todo el mundo sabe que si  hasta ellos mismos   a qui n pretenden enga ar estos sinverg enzas  no creo que enga en ni a sus propios votantes,AzulayArmando,es,4,2,2020-06-11 14:30:04+00:00,272,False,1898,España,,1504884594105065476
