,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
288,2022-03-29 15:36:39+00:00,"Tan aburrida de la huelga de transportistas que prefiero ver @salvameoficial 
señores del transporte, saben cuántos autónomos hacen irpf a pérdidas.  Y cuenten si en confinamiento transportaron gratis. Que todos vamos a currar con el mismo sueldo y combustible por las nubes.",tan aburrida de la huelga de transportistas que prefiero ver    se ores del transporte  saben cu ntos aut nomos hacen irpf a p rdidas   y cuenten si en confinamiento transportaron gratis  que todos vamos a currar con el mismo sueldo y combustible por las nubes ,Ritabolk,es,3,0,2011-02-13 21:21:38+00:00,349,False,2758,Tenerife,,1508830504002457614
290,2022-03-29 15:36:16+00:00,"@todoesmentiratv De verá acusa a vox de estar metido en la huelga de transporte, lo vas a tener que demostrar, si hubiesen sido los sindicatos? Vale ya ese odio a vox",  de ver  acusa a vox de estar metido en la huelga de transporte  lo vas a tener que demostrar  si hubiesen sido los sindicatos  vale ya ese odio a vox,aneshalieli,es,4,0,2021-05-29 18:15:09+00:00,2805,False,86018,,,1508830407437000721
292,2022-03-29 15:34:36+00:00,"#Provinciales El sindicato que nuclea a los conductores de trenes de transporte de pasajeros y de carga, había lanzado una huelga de 24 horas en rechazo a una medida judicial.

https://t.co/ra9rHc64Ci", provinciales el sindicato que nuclea a los conductores de trenes de transporte de pasajeros y de carga  hab a lanzado una huelga de 24 horas en rechazo a una medida judicial    ,info_portada,es,0,0,2021-04-20 16:07:29+00:00,88,False,6,"Buenos Aires, Argentina",,1508829987121553415
296,2022-03-29 15:31:51+00:00,¿Cómo puede avanzar un país en materia de transporte público si hay individuos que saben que el transporte público actual es un desorden y hacen huelga para que no se ordene?, c mo puede avanzar un pa s en materia de transporte p blico si hay individuos que saben que el transporte p blico actual es un desorden y hacen huelga para que no se ordene ,senacuevas1986,es,4,1,2020-01-08 12:22:50+00:00,1190,False,20066,,,1508829294499356679
301,2022-03-29 15:28:46+00:00,"Detenido por rajar las cuatro ruedas y amenazar con una navaja a un camionero de Barrax durante la huelga del transporte

https://t.co/P0UTgs3ze9

Informa @RadioAlbacete",detenido por rajar las cuatro ruedas y amenazar con una navaja a un camionero de barrax durante la huelga del transporte     informa  ,La_SER,es,11,7,2009-06-01 16:07:07+00:00,1371722,True,1785,,,1508828519358476296
308,2022-03-29 15:15:00+00:00,"El presidente de la Plataforma para la Defensa del Sector del Transporte de Mercancías por Carretera, Manuel Hernández, dice que la huelga ""va a continuar desgraciadamente"": ""Perdemos menos parados que trabajando"" https://t.co/CGaHrSR60L https://t.co/RD605KEiDi",el presidente de la plataforma para la defensa del sector del transporte de mercanc as por carretera  manuel hern ndez  dice que la huelga  va a continuar desgraciadamente    perdemos menos parados que trabajando     ,europapress,es,61,19,2010-03-09 10:05:13+00:00,1471780,True,3609,,,1508825054477496334
309,2022-03-29 15:11:47+00:00,@CatEconomics @Naty_Krdnas @vivirechaza2 Jajaja...fue una subida del precio en el transporte lo que ocasionó la huelga de 1951..y fue apoyada incluso por algunos franquistas,    krdnas   jajaja   fue una subida del precio en el transporte lo que ocasion  la huelga de 1951  y fue apoyada incluso por algunos franquistas,dnlrys,es,0,0,2009-09-07 14:46:42+00:00,483,False,26163,Tlön,,1508824246130151424
310,2022-03-29 15:11:45+00:00,ENTREVISTA | El sector del frío de #Lucena teme la caída de las exportaciones a Europa por la huelga del transporte: https://t.co/SiX8Dk8gj5,entrevista   el sector del fr o de  lucena teme la ca da de las exportaciones a europa por la huelga del transporte   ,SerLucena,es,0,0,2015-07-15 10:41:02+00:00,591,False,10,Teléfono: 957 50 13 87,,1508824236642775043
311,2022-03-29 15:10:49+00:00,"RT @Alejandra_v_c: Huelga de transporte 2022, última hora en directo | Los camioneros mantienen el paro indefinido: https://t.co/OsQhHddXC6", huelga de transporte 2022   ltima hora en directo   los camioneros mantienen el paro indefinido   ,RHerap,es,0,7,2013-09-02 22:09:54+00:00,4719,False,35152,R. de Valencia 👑 💙💛❤️,,1508824001388421121
313,2022-03-29 15:09:22+00:00,"RT @netobusta: 🇵🇪🇵🇪PERU PRIMERO🇵🇪🇵🇪
@MartinVizcarraC 
No sé que responderle a esta señora @chechechacon,si es por falta de neuronas porque…",     peru primero        no s  que responderle a esta se ora   si es por falta de neuronas porque ,jcpalacios8,es,0,54,2018-07-13 19:22:07+00:00,129,False,13172,LIMA,,1508823636643393548
