,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
2621,2022-03-14 14:08:31+00:00,Ésto y “aquí no hay huelga de transporte”da una gran credibilidad a la organización sindical. https://t.co/a2jGIbtMKp, sto y  aqu  no hay huelga de transporte da una gran credibilidad a la organizaci n sindical   ,magdagonlared,es,1,0,2011-09-07 07:33:06+00:00,145,False,14577,,
2624,2022-03-14 14:07:55+00:00,@PG_PL5 Que la prensa lleva más de una semana dando la matraca con la huelga de transporte y el desabastecimiento. Eso le pasa 🤷‍♀️,  pl5 que la prensa lleva m s de una semana dando la matraca con la huelga de transporte y el desabastecimiento  eso le pasa     ,GuillerCil,es,0,0,2011-12-13 18:29:44+00:00,5689,False,71114,"Oviedo, España ",
2626,2022-03-14 14:07:46+00:00,El precio del cereal se dispara por la guerra y la huelga de transporte deja el mercado sin ganado  https://t.co/1Uq8oZWxXA a través de @SArtvALDIA,el precio del cereal se dispara por la guerra y la huelga de transporte deja el mercado sin ganado    a trav s de  ,Gabrielblgr,es,0,0,2013-08-12 13:29:14+00:00,332,False,3748,SALAMANCACERES,
2627,2022-03-14 14:07:45+00:00,@SandraGolpeA3TV buenas tardes! Sabes que hay una huelga de transporte? Porque en los titulares se os ha olvidado,  buenas tardes  sabes que hay una huelga de transporte  porque en los titulares se os ha olvidado,miguelRT1994,es,1,0,2011-12-31 11:53:09+00:00,234,False,1449,Jumilla,
2630,2022-03-14 14:07:36+00:00,"Yo: Aprovechando que esta semana no abro mi negocio por la huelga del transporte, me pongo a tope con el gym.

El transporte: Huelga pero no mucho

La chica de la tienda de trajes: Ni se te ocurra ganar masa muscular antes de la boda, que el traje te está como un guante.

😓",yo  aprovechando que esta semana no abro mi negocio por la huelga del transporte  me pongo a tope con el gym   el transporte  huelga pero no mucho  la chica de la tienda de trajes  ni se te ocurra ganar masa muscular antes de la boda  que el traje te est  como un guante    ,cuneteanding,es,4,0,2021-09-25 19:12:06+00:00,378,False,10401,Fachakistán,
2634,2022-03-14 14:06:32+00:00,Gracias Zelenski la soberbia de no llegar a un acuerdo con Rusia…ha traído inflación ahora HUELGA de TRANSPORTE en España… https://t.co/hOb4Gl2P70,gracias zelenski la soberbia de no llegar a un acuerdo con rusia ha tra do inflaci n ahora huelga de transporte en espa a   ,AnaNikita1012,es,0,1,2019-11-10 15:33:39+00:00,1444,False,77245,,
2635,2022-03-14 14:06:28+00:00,"RT @Guiller85: 🇪🇦💚 Buenos días 💚🇪🇦
🇪🇦💚 Vamos a por el lunes 💚🇪🇦
🇪🇦💚 Haber si con esta huelga de transporte, es verdad que tenemos unión ent…",     buenos d as         vamos a por el lunes         haber si con esta huelga de transporte  es verdad que tenemos uni n ent ,ManuJavi1,es,0,6,2021-04-19 07:51:36+00:00,1869,False,303,"Madrid, Comunidad de Madrid",
2637,2022-03-14 14:06:19+00:00,"RT @ElBierzoDigital: 🚚 Unos 800 camioneros del Bierzo, Astorga y La Bañeza secundan el paro patronal del sector del transporte
https://t.co…",   unos 800 camioneros del bierzo  astorga y la ba eza secundan el paro patronal del sector del transporte  ,zaidagarro,es,0,1,2013-08-28 08:53:36+00:00,171,False,69456,"Ponferrada, España",
2643,2022-03-14 14:04:48+00:00,"Como ya sabéis, tenemos huelga en el sector del transporte. Tras hablar con los mensajeros, he decidido retener los envíos aquí hasta que se reactive el sector, ya que corremos riesgo de que se pierda o se dañe la mercancía.
Gracias a todos por la paciencia y comprensión https://t.co/xbnQk5ayBw",como ya sab is  tenemos huelga en el sector del transporte  tras hablar con los mensajeros  he decidido retener los env os aqu  hasta que se reactive el sector  ya que corremos riesgo de que se pierda o se da e la mercanc a  gracias a todos por la paciencia y comprensi n  ,triguetech,es,0,0,2015-08-31 13:25:33+00:00,45,False,292,"Trigueros, España",
2644,2022-03-14 14:04:45+00:00,Por qué la “huelga” del transporte es un paro patronal https://t.co/drlHQNWXYn,por qu  la  huelga  del transporte es un paro patronal  ,envidiadela,es,0,0,2012-06-15 18:14:55+00:00,1719,False,47114,,
