,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-31 23:56:30+00:00,"RT @egtegain: 1/3.Los Camioneros de la Plataforma en Defensa del Transporte siguen en Huelga, pero los Estamos dejando solos. Últimamente,…", 1 3 los camioneros de la plataforma en defensa del transporte siguen en huelga  pero los estamos dejando solos   ltimamente  ,manuelsfc68,es,0,107,2014-05-18 10:47:11+00:00,602,False,111748,"Brenes, España",,1509681070937153538
2,2022-03-31 23:49:53+00:00,RT @SoyMmadrigal: Se acuerdan de la plataforma que convocó el paro de transporte? Pues algunos de los grupos que les apoyan están montando…, se acuerdan de la plataforma que convoc  el paro de transporte  pues algunos de los grupos que les apoyan est n montando ,Brown_K_Brown,es,0,164,2014-11-08 23:41:43+00:00,299,False,9763,,,1509679404510760975
10,2022-03-31 23:22:50+00:00,"RT @AECIM_org: ⚠ El aumento de precio de la energía, sumado a la escalada de precios de las materias primas y, ahora, la huelga de transpor…",   el aumento de precio de la energ a  sumado a la escalada de precios de las materias primas y  ahora  la huelga de transpor ,JaviBarajasG,es,0,5,2011-06-02 17:24:00+00:00,74,False,600,"Cuenca, España",,1509672597667160064
12,2022-03-31 23:19:28+00:00,"RT @rosamariaartal: A El Mundo la gráfica se le dispara hasta salirse de cuadro casi. Es una inflación desbocada, sí,  similar a otros país…", a el mundo la gr fica se le dispara hasta salirse de cuadro casi  es una inflaci n desbocada  s    similar a otros pa s ,maquinandoarte,es,0,49,2013-05-13 13:08:00+00:00,357,False,3703,españa,,1509671751193616388
26,2022-03-31 22:36:51+00:00,"@jvilasuarez @EU_Commission Fundamental… sobre todo para los consumidores finales y el gobierno ministra de economía hacienda transporte etc.. que son ellos que inyectan dinero 
Los que nos fastidian son no la UE (con ayudas) VIRUS GUERRA Y HUELGA PROLONGADA",    commission fundamental  sobre todo para los consumidores finales y el gobierno ministra de econom a hacienda transporte etc   que son ellos que inyectan dinero  los que nos fastidian son no la ue  con ayudas  virus guerra y huelga prolongada,IsaVidor,es,0,0,2020-01-25 10:42:11+00:00,15,False,1124,,,1509661026966552577
31,2022-03-31 22:29:15+00:00,"@negoka @JohnsonJimEspJ @OrriRBoy1899 @vigobulldog El ámbito legislativo es Estatal. 
Una huelga de transporte en Euskadi sería semejante a hacerla en Amoroto.",        el  mbito legislativo es estatal   una huelga de transporte en euskadi ser a semejante a hacerla en amoroto ,hobetzeko,es,0,0,2020-03-19 21:11:29+00:00,233,False,12596,"Algorta , País Vasco",,1509659111943720965
32,2022-03-31 22:27:46+00:00,RT @plabrado: @el_vigia_ @Percebe87 @RCDeportivo @RCCelta @Bravo199285 @manerasdevivir3 @Vigilant221 @vigilantes_esp @VPrisiones @VVSUnidos…,   vigia                esp     ,9promocion,es,0,3,2015-06-05 23:12:47+00:00,700,False,2196,,,1509658739468554240
33,2022-03-31 22:27:43+00:00,RT @el_vigia_: @plabrado @Percebe87 @RCDeportivo @RCCelta @Bravo199285 @manerasdevivir3 @Vigilant221 @vigilantes_esp @VPrisiones @VVSUnidos…,                 esp     ,9promocion,es,0,3,2015-06-05 23:12:47+00:00,700,False,2196,,,1509658728823500816
51,2022-03-31 22:06:25+00:00,"RT @puchovic: Repercusión mediática brutal al PARON PATRONAL del transporte, ya hay noticias que hablan de un posible PARON PATRONAL de las…", repercusi n medi tica brutal al paron patronal del transporte  ya hay noticias que hablan de un posible paron patronal de las ,aespeja,es,0,313,2010-07-02 13:35:08+00:00,82,False,8263,,,1509653366288392197
56,2022-03-31 22:04:24+00:00,"@ANGEL73812990 @marcelosb73 @LulaOficial Estan destrozando España, no engañéis fuera, tenemos una inflación que roza el 10% transporte en huelga, van a limitar la compra de productos, nos suben impuestos, son una ruina, algunas gasolineras no abrirán etc...",      estan destrozando espa a  no enga  is fuera  tenemos una inflaci n que roza el 10  transporte en huelga  van a limitar la compra de productos  nos suben impuestos  son una ruina  algunas gasolineras no abrir n etc   ,soluraso1,es,1,0,2013-05-11 15:34:55+00:00,31,False,2108,,,1509652861357068288
