,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-25 23:59:47+00:00,"RT @Miotroyo2parte: Buenas, @NadiaCalvino. Como veo que “no le consta” que su Gobierno haya calificado de ultraderecha a los transportistas…", buenas     como veo que  no le consta  que su gobierno haya calificado de ultraderecha a los transportistas ,CanReull,es,0,233,2016-04-13 18:12:07+00:00,706,False,40159,Can Domingo,,1507507571787186181
1,2022-03-25 23:59:37+00:00,RT @MarDGamero: La Ministra de Transporte dice que sólo se va reunir con los convocantes de la huelga para explicarles el acuerdo alcanzado…, la ministra de transporte dice que s lo se va reunir con los convocantes de la huelga para explicarles el acuerdo alcanzado ,juanben65609598,es,0,452,2016-02-06 14:54:42+00:00,282,False,146507,,,1507507528279773185
2,2022-03-25 23:59:37+00:00,"RT @CarlosJ65007537: Que no os engañen. La huelga de transporte sigue.
Hoy en Madrid miles de transportistas se han manifestado pidiendo la…", que no os enga en  la huelga de transporte sigue  hoy en madrid miles de transportistas se han manifestado pidiendo la ,Ytukpiensas123,es,0,183,2013-04-27 17:47:00+00:00,1099,False,15945,MALAGA ,,1507507527092781062
3,2022-03-25 23:59:03+00:00,"RT @SocialDrive_es: Continúa la huelga del transporte

#HuelgaTransporte https://t.co/bt1LoBbqTS", contin a la huelga del transporte   huelgatransporte  ,VivaHonduras4,es,0,65,2018-11-28 23:02:53+00:00,425,False,31976,El Eden,,1507507385094610945
4,2022-03-25 23:59:01+00:00,"RT @PanicOrfila: Sinsentido de la continuidad de la huelga de transporte.
¡Intencionalidad al descubierto! 🧐 https://t.co/kZ0YMiHeXh", sinsentido de la continuidad de la huelga de transporte   intencionalidad al descubierto     ,DacioFelix,es,0,37,2015-02-19 18:42:21+00:00,2561,False,65846,,,1507507376051609604
5,2022-03-25 23:57:20+00:00,"RT @kafiat: El colectivo de transportistas de la provincia de #Almería, dedicados al transporte de hortalizas y frutas hacia los mercados,…", el colectivo de transportistas de la provincia de  almer a  dedicados al transporte de hortalizas y frutas hacia los mercados  ,HarrySartal,es,0,597,2012-02-20 19:25:57+00:00,191,False,13267, Donostia-Urrugne,,1507506953437732869
6,2022-03-25 23:56:57+00:00,Bares y restaurantes a medio gas por la huelga del transporte https://t.co/QkXWm2mDuj,bares y restaurantes a medio gas por la huelga del transporte  ,VicenteAlmerich,es,0,0,2013-03-18 19:57:37+00:00,13444,False,4865,"Valencia, España",,1507506858294226950
8,2022-03-25 23:56:08+00:00,RT @AUGC_Comunica: Durante la huelga de transporte hemos tenido ensayos musicales con unidades de élite en las instalaciones del GRS nº1 de…, durante la huelga de transporte hemos tenido ensayos musicales con unidades de  lite en las instalaciones del grs n 1 de ,Antonio35262502,es,0,35,2022-02-10 18:30:09+00:00,249,False,3673,,,1507506652085374994
9,2022-03-25 23:56:08+00:00,RT @warucrania_es: El Gobierno abre la mano a más horas al volante y menos descanso ante la huelga de transporte: ha sustituido el límite d…, el gobierno abre la mano a m s horas al volante y menos descanso ante la huelga de transporte  ha sustituido el l mite d ,humanwreck_,es,0,1,2012-04-22 14:32:57+00:00,577,False,92491,,,1507506649455542278
10,2022-03-25 23:56:04+00:00,RT @MarDGamero: Los transportistas convocantes de la huelga están tán contentos con el acuerdo del Gobierno que se están concentrando ahora…, los transportistas convocantes de la huelga est n t n contentos con el acuerdo del gobierno que se est n concentrando ahora ,Barandaand,es,0,516,2013-06-07 14:21:34+00:00,12626,False,140713,,,1507506636650385410
