,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
1100,2022-03-20 17:53:50+00:00,"@TonoSVJ #BasilioPerroflauta es un pseudo-camionero punketo de Vigo que va de twittstar y es más rojo que Stalin, a esa joyita llevó la Secta para entrevistarlo por la huelga de transporte. El caso es que el Señor Abascal le llamó perroflauta y el podemita montó en cólera @vigobulldog",   basilioperroflauta es un pseudo camionero punketo de vigo que va de twittstar y es m s rojo que stalin  a esa joyita llev  la secta para entrevistarlo por la huelga de transporte  el caso es que el se or abascal le llam  perroflauta y el podemita mont  en c lera  ,LOCOCOMIO2,es,6,0,2014-02-27 13:02:57+00:00,2608,False,75156,Botswana,,1505603537253896198
1105,2022-03-20 17:52:01+00:00,"RT @MyWorldOfDjs: Habla Manuel Hernández, el líder de la huelga del transporte: ""Va a ir a más, estamos desesperados"" https://t.co/1ovbiDp2…", habla manuel hern ndez  el l der de la huelga del transporte   va a ir a m s  estamos desesperados   ,Javibqbr,es,0,18,2016-02-01 13:27:14+00:00,723,False,28336,,,1505603078191521796
1107,2022-03-20 17:51:50+00:00,"RT @elperiodico: 🚚Huelga de transporte: ¿Cuánto puede alargarse el paro indefinido?

➡Las protestas por el aumento del precio del combustib…",  huelga de transporte   cu nto puede alargarse el paro indefinido    las protestas por el aumento del precio del combustib ,ManoloToledo_M,es,0,11,2014-02-18 02:12:34+00:00,1513,False,33945,variable,,1505603032574304261
1111,2022-03-20 17:51:33+00:00,"O sea, Antonio Naranjo está dispuesto a comer latas y no beber leche para que el Gobierno ceda ante los piquetes violentos en el transporte, el tertuliano volcará todo su odio en la próxima huelga del ferrocarril, esas no las aguanta, recordemos que Naranjo no es rehén de nadie.",o sea  antonio naranjo est  dispuesto a comer latas y no beber leche para que el gobierno ceda ante los piquetes violentos en el transporte  el tertuliano volcar  todo su odio en la pr xima huelga del ferrocarril  esas no las aguanta  recordemos que naranjo no es reh n de nadie ,furretillo,es,0,0,2013-05-18 20:30:06+00:00,5175,False,14933,,,1505602961271103494
1117,2022-03-20 17:50:06+00:00,Le sacan una foto a cuatro caballos y dos banderas e intentan hacerte creer que todas las imágenes que has visto de la huelga de transporte son mentira https://t.co/kWuVZh9L96,le sacan una foto a cuatro caballos y dos banderas e intentan hacerte creer que todas las im genes que has visto de la huelga de transporte son mentira  ,PentonalSodico,es,1,0,2017-10-25 23:04:21+00:00,2546,False,31077,"Barcelona, Tabarnia, España",,1505602596362465281
1122,2022-03-20 17:48:51+00:00,RT @joseisspeaking: que dicen los sindicatos comegambas que la huelga de transporte es de la patronal porque es de los autónomos. Metiendo…, que dicen los sindicatos comegambas que la huelga de transporte es de la patronal porque es de los aut nomos  metiendo ,mb1285982084,es,0,15,2021-12-22 17:17:09+00:00,322,False,6937,,,1505602281630281728
1123,2022-03-20 17:48:48+00:00,"Entiendo y apoyo la huelga de transporte igual que cualquiera. Mi marido se dedica a ello. Pero lo que no puede ser, bajo ningún concepto, es que sea obligatoria. 
Una huelga es un derecho, nunca una obligación, si alguien quiere seguir con su trabajo, debe poder.⬇️",entiendo y apoyo la huelga de transporte igual que cualquiera  mi marido se dedica a ello  pero lo que no puede ser  bajo ning n concepto  es que sea obligatoria   una huelga es un derecho  nunca una obligaci n  si alguien quiere seguir con su trabajo  debe poder   ,sheilainsua,es,3,0,2010-07-05 14:07:16+00:00,652,False,19591,,,1505602268493758468
1124,2022-03-20 17:48:40+00:00,"Séptima jornada en la huelga del transporte
https://t.co/7aBZZhXmyf",s ptima jornada en la huelga del transporte  ,AgenciaAtlas,es,0,0,2012-03-09 15:53:05+00:00,3861,False,236,"Madrid, Spain",,1505602234939318282
1126,2022-03-20 17:47:25+00:00,RT @gasolinaverde: La huelga de transporte en España es por el incremento exhorbitante del combustible que hace trabajar a los transportist…, la huelga de transporte en espa a es por el incremento exhorbitante del combustible que hace trabajar a los transportist ,mb1285982084,es,0,3,2021-12-22 17:17:09+00:00,322,False,6937,,,1505601923323502594
1133,2022-03-20 17:44:25+00:00,RT @frarumo: La huelga de camioneros española está recibiendo una lluvia de apoyos de última hora. Aunque no cuente con las grandes patrona…, la huelga de camioneros espa ola est  recibiendo una lluvia de apoyos de  ltima hora  aunque no cuente con las grandes patrona ,mb1285982084,es,0,66,2021-12-22 17:17:09+00:00,322,False,6937,,,1505601165668593664
