,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
1545,2022-03-13 19:38:45+00:00,"Pelagambas desayunando by the face que ya ni se cortan
https://t.co/SANVDgz6PJ
La buenísima cobertura de Tucán de Caviar
https://t.co/rC7VOHSMTH https://t.co/ZKrKcJbPbr",pelagambas desayunando by the face que ya ni se cortan   la buen sima cobertura de tuc n de caviar    ,MiBanderaMiRey,es,0,0,2011-02-16 14:38:43+00:00,4709,False,360470,"Nueva España, Madrid",
1561,2022-03-13 19:35:34+00:00,La huelga indefinida de camioneros siembra más incertidumbre. La gran patronal del transporte pide protección policial para garantizar la seguridad https://t.co/rQYnHQYBHv https://t.co/HXD7N8YYUd,la huelga indefinida de camioneros siembra m s incertidumbre  la gran patronal del transporte pide protecci n policial para garantizar la seguridad    ,CocheGlobal,es,0,0,2012-07-14 09:13:23+00:00,3788,False,1122,Barcelona / Global Car Market,
1562,2022-03-13 19:35:30+00:00,"RT @MBEAirport: 🚨HUELGA NACIONAL INDEFINIDA EN EL TRANSPORTE DE MERCANCÍAS  DESDE 14 DE MARZO🚨
La Plataforma para la Defensa del Sector del…",  huelga nacional indefinida en el transporte de mercanc as  desde 14 de marzo  la plataforma para la defensa del sector del ,AnnaMudoyAnderb,es,0,24,2012-08-19 14:40:53+00:00,1012,False,51074,"Can Picafort,Muro, MALLORCA",
1591,2022-03-13 19:30:05+00:00,"RT @kurrambisflying: Putin es comunista, huelga de transporte y veinte mil millones para el feminismo.

Los nuevos mantras de la indigencia…", putin es comunista  huelga de transporte y veinte mil millones para el feminismo   los nuevos mantras de la indigencia ,Gabi_Planes,es,0,5,2013-09-02 20:50:21+00:00,191,False,25839,Malaga,
1612,2022-03-13 19:27:36+00:00,"RT @CesarJRamos: Importante!!! El Comité Nacional del Trasporte por Carreteras, que es el órgano donde están representadas las principales…", importante    el comit  nacional del trasporte por carreteras  que es el  rgano donde est n representadas las principales ,MariMingot,es,0,420,2021-07-25 15:54:13+00:00,87,False,9287,,
1617,2022-03-13 19:26:37+00:00,"RT @Txikiteros: @dlacalle Un paro patronal es diferente a una huelga del transporte.

Un doctor en economía debería saber estas cosas tan b…",   un paro patronal es diferente a una huelga del transporte   un doctor en econom a deber a saber estas cosas tan b ,merichon,es,0,3,2013-07-07 10:14:04+00:00,1814,False,120313,,
1637,2022-03-13 19:24:22+00:00,RT @MirenAguirrego1: @AntonioRNaranjo @LaRocaLaSexta Cuando hay problemas (causados por él) y con una huelga general indefinida mañana del…,     cuando hay problemas  causados por  l  y con una huelga general indefinida ma ana del ,ChariMuriel,es,0,4,2012-02-11 20:20:45+00:00,224,False,48757,,
1644,2022-03-13 19:23:40+00:00,CCOO contra la huelga del transporte por el alza del combustible https://t.co/9Sj7mfksH3 a través de @ElDiestro_,ccoo contra la huelga del transporte por el alza del combustible   a trav s de   ,Mayte_L_M,es,2,4,2016-12-31 14:47:03+00:00,431,False,59825,,
1645,2022-03-13 19:23:38+00:00,"La Plataforma para la Defensa del Sector del Transporte de Mercancías por Carretera convoca un cierre patronal para “parar España” este lunes 14 de marzo de 2022 y su portavoz defiende a Rusia y llama “nazi” a Zelenski.
https://t.co/fx0yPvwd0r",la plataforma para la defensa del sector del transporte de mercanc as por carretera convoca un cierre patronal para  parar espa a  este lunes 14 de marzo de 2022 y su portavoz defiende a rusia y llama  nazi  a zelenski   ,ocremades,es,2,2,2011-02-03 20:04:52+00:00,1157,False,1847,,
1660,2022-03-13 19:20:56+00:00,@solidaridad_esp Apoyamos al transporte que sea una huelga de trabajadores tambien.,  esp apoyamos al transporte que sea una huelga de trabajadores tambien ,Jrg55487887,es,4,0,2019-09-15 20:59:59+00:00,43,False,3603,Madrid,
1663,2022-03-13 19:20:41+00:00,"La gente tiene miedo a la huelga del transporte .
Yo creo que no llegará al 50% https://t.co/ArzgklVa1H",la gente tiene miedo a la huelga del transporte   yo creo que no llegar  al 50   ,Emiliogarciagil,es,1,1,2022-03-13 18:37:12+00:00,1,False,1,,
1673,2022-03-13 19:19:15+00:00,"Mañana huelga indefinida del Transporte , una huelga que es la más justa de la democracia , ante una subida abusiva y desproporcionada de los combustibles fósiles , un Gobierno que ha declarado la guerra al transporte , primero con el ecologismo político , ahora con impuestos",ma ana huelga indefinida del transporte   una huelga que es la m s justa de la democracia   ante una subida abusiva y desproporcionada de los combustibles f siles   un gobierno que ha declarado la guerra al transporte   primero con el ecologismo pol tico   ahora con impuestos,SamperMarco,es,69,26,2012-02-16 19:18:08+00:00,57,False,183,", ",
1681,2022-03-13 19:18:33+00:00,"Los presidentes autonómicos del PP piden a Sánchez la rebaja del IVA de carburantes y luz, algo idéntico a lo q pide VOX, ya se parecen en algo 🙂 La respuesta de Sánchez es q  condena la barbarie de Putin, en víspera de la huelga del transporte por culpa del precio del  diésel",los presidentes auton micos del pp piden a s nchez la rebaja del iva de carburantes y luz  algo id ntico a lo q pide vox  ya se parecen en algo   la respuesta de s nchez es q  condena la barbarie de putin  en v spera de la huelga del transporte por culpa del precio del  di sel,jorge22094625,es,0,0,2012-12-06 07:51:16+00:00,2709,False,47002,España,
1693,2022-03-13 19:17:08+00:00,"La huelga del transporte es solo el principio del fin !!

#HayQueEcharlos 
#GobiernoCriminalyCorrupto https://t.co/jr3OuzblMk",la huelga del transporte es solo el principio del fin      hayqueecharlos   gobiernocriminalycorrupto  ,delatorreajenjo,es,66,38,2014-11-03 20:06:58+00:00,948,False,24985,,
