,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
22,2022-03-13 23:59:38+00:00,"RT @ejdecena: Quería ir a Mérida pero me dijeron que no había gasolina y la electricidad se va todos los días.
Una ciudad universitaria y t…", quer a ir a m rida pero me dijeron que no hab a gasolina y la electricidad se va todos los d as  una ciudad universitaria y t ,es,0,183,2015-08-28 18:46:05+00:00,713,False,20625,"Mérida, Venezuela",
23,2022-03-13 23:59:36+00:00,RT @MarcelaPinedaSV: 🟢 Con la aprobación del Régimen Temporal de Suspensión de Aplicación del Cargo Relativo a la Cuenta Especial de Estabi…,   con la aprobaci n del r gimen temporal de suspensi n de aplicaci n del cargo relativo a la cuenta especial de estabi ,es,0,14,2018-09-10 05:46:31+00:00,246,False,29582,,
24,2022-03-13 23:59:36+00:00,"RT @LesterYomar: Yo sí espero tener vuelos directos, embajada americana, y consulado en Caracas. Si se pudiera tener a la gente de ExxonMob…", yo s  espero tener vuelos directos  embajada americana  y consulado en caracas  si se pudiera tener a la gente de exxonmob ,es,0,233,2009-11-09 14:37:57+00:00,1157,False,31435,Venezuela,
25,2022-03-13 23:59:36+00:00,"RT @JavierErausquin: El Gobierno más progresista de la historia te ha traído el megavatio a 700€ y la gasolina a 2€/litro. 

Si todavía no…", el gobierno m s progresista de la historia te ha tra do el megavatio a 700  y la gasolina a 2  litro    si todav a no ,es,0,4422,2011-11-24 20:08:14+00:00,208,False,3178,Sevilla,
26,2022-03-13 23:59:36+00:00,RT @ElAmaDeCasa1: Qué triste tener que presumir el precio de la gasolina o la inauguración de un aeródromo porque no tienen LOGROS en temas…, qu  triste tener que presumir el precio de la gasolina o la inauguraci n de un aer dromo porque no tienen logros en temas ,es,0,1681,2015-03-27 14:40:11+00:00,1732,False,4627,,
27,2022-03-13 23:59:33+00:00,"RT @_Illaritika: Bravo muchachos, ""vencieron al correísmo"" aunque ahora llenen las redes sociales preguntando por el aditivo que le pueden…", bravo muchachos   vencieron al corre smo  aunque ahora llenen las redes sociales preguntando por el aditivo que le pueden ,es,0,103,2010-11-29 16:06:21+00:00,477,False,96595,QUITO - ECUADOR,
28,2022-03-13 23:59:29+00:00,"RT @loco_descuidado: @chioreya @lopezobrador_ Sin pandemia ni #Guerra 
subía la gasolina y el dólar
cada mes. Si siguiera
gobernando el #PR…",      sin pandemia ni  guerra  sub a la gasolina y el d lar cada mes  si siguiera gobernando el  pr ,es,0,21,2013-03-11 02:03:12+00:00,40,False,500,México,
30,2022-03-13 23:59:26+00:00,"RT @FroilLannister: Imaginaos a Alberto, transportista, pagando a 2€ la gasolina, la mitad impuestos, viendo que solo recibe largas del Gob…", imaginaos a alberto  transportista  pagando a 2  la gasolina  la mitad impuestos  viendo que solo recibe largas del gob ,es,0,2139,2021-11-06 16:13:02+00:00,350,False,19877,Sevilla,
31,2022-03-13 23:59:25+00:00,"RT @SinLinea_Mx: 👉A partir de este sábado, SHCP absorberá IEPS también a gasolina premium ⛽️
¡No se dejen sorprender! 👀

https://t.co/Y7faG…",  a partir de este s bado  shcp absorber  ieps tambi n a gasolina premium     no se dejen sorprender      ,es,0,382,2010-10-02 00:09:59+00:00,2568,False,27697,Mexico,
33,2022-03-13 23:59:23+00:00,"RT @Rey_Fifi: ¿Cuánto a que pasando la revocación de mandato la gasolina subirá de precio?

- Apuesta del Rey",  cu nto a que pasando la revocaci n de mandato la gasolina subir  de precio     apuesta del rey,es,0,92,2016-05-01 15:17:33+00:00,298,False,36433,"Monterrey, Nuevo León",
