,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
18,2022-03-17 23:59:30+00:00,RT @AntonioGuillenH: 💸Mientras tú no puedes pagar la factura de la luz y tienes que dejar tu coche en el garaje por el precio de la gasolin…,  mientras t  no puedes pagar la factura de la luz y tienes que dejar tu coche en el garaje por el precio de la gasolin ,es,0,26,2014-09-25 19:17:58+00:00,2593,False,25847,,
19,2022-03-17 23:59:29+00:00,RT @villagranJulC: Mas fuertes incrementos en combustibles se vienen la próxima semana. Diesel será impactado en mayor proporción., mas fuertes incrementos en combustibles se vienen la pr xima semana  diesel ser  impactado en mayor proporci n ,es,0,68,2020-04-06 01:55:37+00:00,22,False,6278,,
20,2022-03-17 23:59:29+00:00,"RT @jemayfe: Huelga de transportistas, ganaderos que tienen que sacrificar vacas, industrias paralizadas, gasolina, luz y gas en precios de…", huelga de transportistas  ganaderos que tienen que sacrificar vacas  industrias paralizadas  gasolina  luz y gas en precios de ,es,0,92,2010-05-01 19:02:32+00:00,5633,False,100239,Madrid,
21,2022-03-17 23:59:28+00:00,"RT @progrestonazote: ¿Tenemos claro que si gobernase la derecha los sindicatos estarían reventando las calles por la subida de la luz, el g…",  tenemos claro que si gobernase la derecha los sindicatos estar an reventando las calles por la subida de la luz  el g ,es,0,1444,2010-03-22 00:22:16+00:00,121,False,21480,"ÜT: 8.810969,-71.482982",
22,2022-03-17 23:59:28+00:00,"RT @npyoficial: #URGENTE 🚨

📌 Petropar reduce G. 500 el precio de combustibles por 30 días 

♦️ La medida afecta al gasoil tipo 3 (Diesel P…",  urgente      petropar reduce g  500 el precio de combustibles por 30 d as      la medida afecta al gasoil tipo 3  diesel p ,es,0,48,2014-09-04 13:31:12+00:00,6,False,942,,
23,2022-03-17 23:59:27+00:00,RT @Gol_de_Iniesta: Muchos países europeos están quitando el IVA del gas y el combustible para que los ciudadanos puedan afrontar esta cris…, muchos pa ses europeos est n quitando el iva del gas y el combustible para que los ciudadanos puedan afrontar esta cris ,es,0,69,2021-05-29 18:17:10+00:00,354,False,47403,,
24,2022-03-17 23:59:26+00:00,"RT @laugonzalezmx: Matemáticas para lopistas.

En USA la gasolina cuesta 4.31 dólares el galón, que equivale a 3.78 litros, es decir, 1.13…", matem ticas para lopistas   en usa la gasolina cuesta 4 31 d lares el gal n  que equivale a 3 78 litros  es decir  1 13 ,es,0,1152,2018-07-20 18:57:10+00:00,686,False,58834,Mexico,
25,2022-03-17 23:59:26+00:00,RT @Kike_tyr: Le han pegado un tiro a uno de los pocos tíos que han tenido cojones de salir a la calle a protestar contra la gasolina a 2€…, le han pegado un tiro a uno de los pocos t os que han tenido cojones de salir a la calle a protestar contra la gasolina a 2  ,es,0,806,2012-03-10 13:46:13+00:00,1317,False,37658,"San Fernando, Cadiz",
27,2022-03-17 23:59:25+00:00,RT @iko_rueda: Movilización espontánea del sector agrario en Lora del Río. Apoyando al sector del transporte y reivindicando precios justos…, movilizaci n espont nea del sector agrario en lora del r o  apoyando al sector del transporte y reivindicando precios justos ,es,0,1363,2011-05-12 07:45:31+00:00,133,False,20300,,
28,2022-03-17 23:59:24+00:00,"RT @MichelCaballero: ¡En el sueño Americano! Se dispara el robo de gasolina: la noticia no genera grandes titulares, ni abre noticieros de…",  en el sue o americano  se dispara el robo de gasolina  la noticia no genera grandes titulares  ni abre noticieros de ,es,0,486,2020-12-26 22:40:09+00:00,94,False,721,,
