,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
22,2022-03-04 23:59:09+00:00,RT @gcollazo: Todavía hay bastantes estaciones con gasolina por debajo de $1 el litro. Les recomiendo usar un app para ver el precio antes…, todav a hay bastantes estaciones con gasolina por debajo de  1 el litro  les recomiendo usar un app para ver el precio antes ,es,0,19,2020-03-13 19:24:59+00:00,103,False,32423,"Isla Verde, USA",
24,2022-03-04 23:59:04+00:00,"@ArmandoEn_Zo Aunque en realidad una empresa petrolera integrada, operando adecuadamente, debe tener costos de gasolina de cuando mucho 50 USD el barril.
Les está yendo muy bien a las petroleras y con la guerra les va ir mejor.",  zo aunque en realidad una empresa petrolera integrada  operando adecuadamente  debe tener costos de gasolina de cuando mucho 50 usd el barril  les est  yendo muy bien a las petroleras y con la guerra les va ir mejor ,es,0,0,2018-08-24 20:13:22+00:00,0,False,39,,
25,2022-03-04 23:59:02+00:00,"Csm hasta cuando??????- Como ya lo de la gasolina y gasoil no es un negocio, vuelven a sus viejas andanzas. @MinpublicoVEN @NicolasMaduro @ZODI_Sucre53 @0800POLINAC #parenlamatracaya https://t.co/Ej0ddiNctw",csm hasta cuando        como ya lo de la gasolina y gasoil no es un negocio  vuelven a sus viejas andanzas        sucre53    parenlamatracaya  ,es,0,0,2014-09-03 12:12:26+00:00,111,False,2510,Venezuela,
26,2022-03-04 23:59:01+00:00,@jgnaredo Qué hay más subsidio a la gasolina,  qu  hay m s subsidio a la gasolina,es,0,0,2012-04-12 16:59:09+00:00,333,False,4729,SPGG,
28,2022-03-04 23:58:57+00:00,"RT @Johanna0816: Ni con el algebra de Baldor ,se resuelve la FormulITO #gasolina #laformulita https://t.co/IDjPREqMVE", ni con el algebra de baldor  se resuelve la formulito  gasolina  laformulita  ,es,0,14,2013-11-14 20:11:13+00:00,329,False,8727,Dominican Republic,
30,2022-03-04 23:58:54+00:00,"Si me invitan a salir fuera de carretera y voy, considérense importantes para mi porque está cara la gasolina",si me invitan a salir fuera de carretera y voy  consid rense importantes para mi porque est  cara la gasolina,es,1,0,2011-06-09 20:33:37+00:00,376,False,16212,Donde no pega el sol.,
33,2022-03-04 23:58:36+00:00,"RT @EntrelineasNoOf: Los precios SOLIDARIOS de los combustibles para este fin de semana:

GASOLINA SÚPER      45.80
GASOLINA REGULAR 44.63…", los precios solidarios de los combustibles para este fin de semana   gasolina s per      45 80 gasolina regular 44 63 ,es,0,18,2017-10-09 23:50:33+00:00,335,False,14319,Nicaragua,
34,2022-03-04 23:58:32+00:00,"RT @HuhConH: Cambiar el nombre de la estación de Atocha, justo lo que necesitamos los españoles. La factura de la luz un 200% más cara, el…", cambiar el nombre de la estaci n de atocha  justo lo que necesitamos los espa oles  la factura de la luz un 200  m s cara  el ,es,0,285,2014-06-24 17:15:07+00:00,57,False,22299,,
35,2022-03-04 23:58:32+00:00,"@DonPorfifirio @jgnaredo Estoy pinches chairos no saben que pedo!!! NO SOMOS EXPORTADORES, SOMOS MAS COMPRADORES Y POR ESO NOS ESTA PEGANDO EN LA GASOLINA. TU ERES SEGUIDOR DE NAHLE??? NO LE HAGAS CASO LO QUE DICE.",    estoy pinches chairos no saben que pedo    no somos exportadores  somos mas compradores y por eso nos esta pegando en la gasolina  tu eres seguidor de nahle    no le hagas caso lo que dice ,es,0,0,2012-12-07 04:19:35+00:00,19,False,119,"Coyoacán, Distrito Federal",
37,2022-03-04 23:58:30+00:00,"RT @gustavo13leal: Aviso parroquial:

En la mañana el precio galón de gasolina era aproximadamente de 36 Quetzales por galón.
Después d med…", aviso parroquial   en la ma ana el precio gal n de gasolina era aproximadamente de 36 quetzales por gal n  despu s d med ,es,0,4,2011-02-06 23:57:02+00:00,340,False,965,Guatemala,
39,2022-03-04 23:58:20+00:00,@JosePaliza Bajen la gasolina ya no mas que decir,  bajen la gasolina ya no mas que decir,es,0,0,2021-05-09 17:37:40+00:00,3,False,386,Respublica dominicana ,
41,2022-03-04 23:58:15+00:00,"@AjBrito003 @alamojl @mariaelisasmith Hijo no se si me leíste, te indique que las sanciones exponencio o acelero la catástrofe, obviamente ya veníamos mal. Antes de las sanciones yo echaba gasolina sin rollo, acá en ccs y en oriente que viajaba con frecuencia. Las colas han disminuido ? En la gran caracas nada más🤷🏼‍♂️",      hijo no se si me le ste  te indique que las sanciones exponencio o acelero la cat strofe  obviamente ya ven amos mal  antes de las sanciones yo echaba gasolina sin rollo  ac  en ccs y en oriente que viajaba con frecuencia  las colas han disminuido   en la gran caracas nada m s     ,es,0,0,2010-04-03 16:33:14+00:00,91,False,2385,"Caracas, Venezuela",
43,2022-03-04 23:58:10+00:00,Veo mucho esa publicación de “trabajar para poner gasolina para ir a trabajar” y me dan ganas de decir man movete en bus o anda a pie como yo lo hago,veo mucho esa publicaci n de  trabajar para poner gasolina para ir a trabajar  y me dan ganas de decir man movete en bus o anda a pie como yo lo hago,es,0,0,2013-12-30 02:33:17+00:00,114,False,5615,El Salvador,
