,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
3479,2022-03-02 19:30:58+00:00,"RT @SarroyoSi: @Donvix Pues, de los tres productos de mayor uso en este país que son GLP, GN y Gasolinas/Diésel, el GLP es el que tendrá ma…",   pues  de los tres productos de mayor uso en este pa s que son glp  gn y gasolinas di sel  el glp es el que tendr  ma ,es,0,3,2021-05-12 19:22:39+00:00,283,False,19130,"Allende, N.L.",
3481,2022-03-02 19:30:50+00:00,¿Qué recontraputas vas a hacer com la gasolina @DrGiammattei ?, qu  recontraputas vas a hacer com la gasolina    ,es,5,0,2011-02-26 18:33:39+00:00,551,False,3796,Macondo,
3483,2022-03-02 19:30:38+00:00,"@AlanBarrosoA Estas siendo cómplice de una escalada belicista, como Maestre. Mandar armas a Ucrania NO es una solución, es mas gasolina en el fuego... 0 sorpresas en este discurso, también te digo.",  estas siendo c mplice de una escalada belicista  como maestre  mandar armas a ucrania no es una soluci n  es mas gasolina en el fuego    0 sorpresas en este discurso  tambi n te digo ,es,1,0,2011-01-24 22:55:05+00:00,131,False,4105,Cádiz,
3486,2022-03-02 19:30:25+00:00,"@Ksiqueiros @ck2008 @elreporteromx Eso si, yo recuerdo no hace muchos años, haber puesto gasolina en Arizona a 1.50 el galón.",      eso si  yo recuerdo no hace muchos a os  haber puesto gasolina en arizona a 1 50 el gal n ,es,1,0,2009-10-07 19:01:20+00:00,194,False,1604,Mexico,
3488,2022-03-02 19:30:18+00:00,@AngelVerdugoB Más alto el precio; más subsidios a gasolina para tratar de garantizar que no se vaya más arriba de $20.00 por litro (bueno en algunos lugares de este México nuestros ya está arriba de $22.00 la magna). Eso si dejamos de observar el contagio inflacionario a la cadena de valor.,  m s alto el precio  m s subsidios a gasolina para tratar de garantizar que no se vaya m s arriba de  20 00 por litro  bueno en algunos lugares de este m xico nuestros ya est  arriba de  22 00 la magna   eso si dejamos de observar el contagio inflacionario a la cadena de valor ,es,0,0,2012-12-19 17:03:41+00:00,26,False,20260,Veracuz,
3490,2022-03-02 19:30:05+00:00,"nunca había gastado tanto en gasolina 
malditxssssss",nunca hab a gastado tanto en gasolina  malditxssssss,es,1,0,2021-08-12 20:41:55+00:00,136,False,2510,,
3492,2022-03-02 19:30:02+00:00,"RT @RicardoAlemanMx: El precio de la gasolina en México ya ronda 27 pesos por litro
https://t.co/i164pXYjPg", el precio de la gasolina en m xico ya ronda 27 pesos por litro  ,es,0,5,2013-08-31 22:30:21+00:00,6135,False,237593,"Xalapa, Veracruz.",
3493,2022-03-02 19:30:02+00:00,"@JessErnestoGay1 @cuantolefalta @lopezobrador_ Los beneficios los empezó ha sentir el pueblo, desde el 2018. Date una vueltecita a los pueblos y veraz. P.d. cuando ha subido la gasolina o el dólar y lo que digo tiene sustento.",       los beneficios los empez  ha sentir el pueblo  desde el 2018  date una vueltecita a los pueblos y veraz  p d  cuando ha subido la gasolina o el d lar y lo que digo tiene sustento ,es,4,0,2021-10-29 18:39:00+00:00,2,False,193,,
3494,2022-03-02 19:30:00+00:00,"📺 ¿Por qué sube el precio de la gasolina? Juan Huerta de Soto, miembro del Equipo de inversión de Cobas AM, explica en el programa @LaHoraTVE de @rtve las principales causas de este aumento de precios.

#petroleo #inflacion #cobasam #rtve #lahoraTVE https://t.co/tECTXXlV1u",   por qu  sube el precio de la gasolina  juan huerta de soto  miembro del equipo de inversi n de cobas am  explica en el programa   de   las principales causas de este aumento de precios    petroleo  inflacion  cobasam  rtve  lahoratve  ,es,5,3,2016-10-18 21:50:46+00:00,13647,False,1664,"Madrid, España",
3495,2022-03-02 19:30:00+00:00,"En Huajuapan de León, alrededor de 600 unidades de motor del servicio de transporte público bloquearon las diferentes estaciones de gasolina de esta ciudad en protesta al alza de precios a los combustibles.
#LasNoticias #Oaxaca

https://t.co/LhatwIgh9L",en huajuapan de le n  alrededor de 600 unidades de motor del servicio de transporte p blico bloquearon las diferentes estaciones de gasolina de esta ciudad en protesta al alza de precios a los combustibles   lasnoticias  oaxaca   ,es,0,0,2011-12-10 02:31:36+00:00,22468,False,1789,"Oaxaca, Mexico",
3496,2022-03-02 19:29:59+00:00,"RT @RicardoAlemanMx: Sheinbaum, instruyó a la SSC investigar un presunto caso de abuso de autoridad que fue denunciado a través de redes so…", sheinbaum  instruy  a la ssc investigar un presunto caso de abuso de autoridad que fue denunciado a trav s de redes so ,es,0,5,2013-08-31 22:30:21+00:00,6135,False,237593,"Xalapa, Veracruz.",
3500,2022-03-02 19:29:44+00:00,"Esto es muy fuerte Doc, ¿y funciona con gasolina normal?.

Lamentablemente no, requiere algo con más reprís: plutonio. https://t.co/C5jbNV4yET",esto es muy fuerte doc   y funciona con gasolina normal    lamentablemente no  requiere algo con m s repr s  plutonio   ,es,6,1,2016-10-23 20:41:57+00:00,142,False,24253,"Madrid, Comunidad de Madrid",
