,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
474,2022-03-15 23:52:49+00:00,La ingente inversión de capital USA en Ucrania empezó en 1993. El presidente Biden envió a su propio hijo (Hunter) como asesor extraordinario del ministerio ucraniano de energía. El proyecto de EE.UU. y aliados es quitarle a Rusia el abastecimiento de combustible a Europa. https://t.co/Q6ZJmypwtZ,la ingente inversi n de capital usa en ucrania empez  en 1993  el presidente biden envi  a su propio hijo  hunter  como asesor extraordinario del ministerio ucraniano de energ a  el proyecto de ee uu  y aliados es quitarle a rusia el abastecimiento de combustible a europa   ,rejwalters,es,0,0,2014-06-23 22:44:43+00:00,67,False,21750,,
475,2022-03-15 23:52:49+00:00,"@larepublica_pe Las cosas por su nombre, la leche en polvo (importada) con agua ya no es evaporada...lo ganaderos con un sol por litro ya no es negocio, por qué los insumos para mantener al ganado (alimento, medicinas, veterinario, combustible, etc) como todas cosas han subido de precio...",  pe las cosas por su nombre  la leche en polvo  importada  con agua ya no es evaporada   lo ganaderos con un sol por litro ya no es negocio  por qu  los insumos para mantener al ganado  alimento  medicinas  veterinario  combustible  etc  como todas cosas han subido de precio   ,luchoqb,es,1,0,2012-10-09 23:29:16+00:00,41,False,3019,"Lima, Perú",
479,2022-03-15 23:52:45+00:00,"RT @JoslingMontilva: Este #Miércoles #16Mar te invito a que asistas a este #TwitterSpace:  ""La Derecha Blanda: El Combustible del Comunismo…", este  mi rcoles  16mar te invito a que asistas a este  twitterspace    la derecha blanda  el combustible del comunismo ,krajita10,es,0,10,2021-11-22 14:14:50+00:00,4319,False,27085,En la bajaíta.,
480,2022-03-15 23:52:45+00:00,"@MadridSports_ Le llevo yo al aeropuerto, con mi coche y pagando el combustible (a precio actual, ojo). Y en destino le tengo un coche esperando para que le lleve a firmar el contrato con quien sea.",   le llevo yo al aeropuerto  con mi coche y pagando el combustible  a precio actual  ojo   y en destino le tengo un coche esperando para que le lleve a firmar el contrato con quien sea ,rokkotrokko,es,0,0,2015-03-10 23:20:19+00:00,181,False,8891,,
481,2022-03-15 23:52:44+00:00,RT @OviedoCapital: ¿Cuánto gana un socialista como para que no le parezca caro el precio de la gasolina?,  cu nto gana un socialista como para que no le parezca caro el precio de la gasolina ,luistizado,es,0,15,2014-05-27 21:23:43+00:00,1247,False,73689,España - Asturias - Oviedo,
485,2022-03-15 23:52:43+00:00,"@Politica_LR todo creceria, pero pura finta, porque el gas esta al doble, la gasolina tambien, los sueldos son pauperrimos, las canasta popular esta por los cielos... entonces que me importa que tu bolsa de valores crezca si el bolsillo de los peruanos esta vacio como sus barrigas...",  lr todo creceria  pero pura finta  porque el gas esta al doble  la gasolina tambien  los sueldos son pauperrimos  las canasta popular esta por los cielos    entonces que me importa que tu bolsa de valores crezca si el bolsillo de los peruanos esta vacio como sus barrigas   ,SandroG50577278,es,0,0,2022-01-11 12:25:35+00:00,0,False,36,,
486,2022-03-15 23:52:42+00:00,RT @JOSEGMOLINOROME: Gobierno aumenta el salario mínimo a 30$ y elimina subsidio de la gasolina .  Solo es para colocar 50 litros de gasoli…, gobierno aumenta el salario m nimo a 30  y elimina subsidio de la gasolina    solo es para colocar 50 litros de gasoli ,mariatpr1969,es,0,4,2011-02-25 19:32:38+00:00,666,False,40709,,
488,2022-03-15 23:52:40+00:00,RT @PPAsamblea: ▶️ ¿Cuántas huelgas ha habido cuando gobernaba Mariano Rajoy? ¿Cuántas ha habido ahora por las subidas del precio de la ene…,     cu ntas huelgas ha habido cuando gobernaba mariano rajoy   cu ntas ha habido ahora por las subidas del precio de la ene ,manuelgoher,es,0,11,2012-09-23 19:47:45+00:00,448,False,9834,Madrid,
490,2022-03-15 23:52:39+00:00,@_victoria74 @meloncitobb La envidia que los mata es nuestro combustible https://t.co/E8xw8FdbzK,  victoria74   la envidia que los mata es nuestro combustible  ,Juan82826479,es,11,0,2020-02-25 22:53:55+00:00,100,False,46110,Ecuánime ,
491,2022-03-15 23:52:39+00:00,"@_laaara07 drama y conflicto, está es la gasolina de mi vida, esto me acaba de sumar ahora mismo dos años de vida👏🏼💪🏼😘",  laaara07 drama y conflicto  est  es la gasolina de mi vida  esto me acaba de sumar ahora mismo dos a os de vida     ,_emmaaaa_07,es,1,0,2021-07-26 00:11:43+00:00,26,False,89,,
492,2022-03-15 23:52:38+00:00,"México perderá medio billón de pesos (554,000 millones) por alto subsidio a la gasolina #JoseRamonLopezBeltran24 
https://t.co/uRMggCkI9e",m xico perder  medio bill n de pesos  554 000 millones  por alto subsidio a la gasolina  joseramonlopezbeltran24   ,HMoreno3,es,1,1,2011-11-08 04:36:29+00:00,2842,False,100430,"Coyoacán, Distrito Federal",
493,2022-03-15 23:52:36+00:00,"RT @livmediapy: El Estado debe retomar el rol regulador con el tema del combustible, mientras tanto el pueblo se ve sometido por los emblem…", el estado debe retomar el rol regulador con el tema del combustible  mientras tanto el pueblo se ve sometido por los emblem ,gustavoarambulo,es,0,12,2011-12-19 22:07:39+00:00,501,False,26510,Valenzuela- Paraguay.,
498,2022-03-15 23:52:33+00:00,"RT @arturomillan_: Para desplazarse a la Conferencia de Presidentes en La Palma, Sánchez y 9 ministros han usado 3 aviones.
Dos vicepreside…", para desplazarse a la conferencia de presidentes en la palma  s nchez y 9 ministros han usado 3 aviones  dos vicepreside ,Mmpatino97,es,0,3057,2011-04-13 12:49:26+00:00,211,False,405,España,
500,2022-03-15 23:52:30+00:00,@albertoosanchz @ainhoamlldprz_ @angelg2_ @Beaajr es buena lo malo que la gasolina vale un riñón,          es buena lo malo que la gasolina vale un ri  n,Cristiantg1807,es,1,0,2021-09-16 11:47:12+00:00,37,False,169,,
501,2022-03-15 23:52:30+00:00,RT @ElediTHOR: ⛽️La evolución del precio del diésel tipo 3 (que concentra el 54% del consumo país) https://t.co/gnpaTnz2XF,   la evoluci n del precio del di sel tipo 3  que concentra el 54  del consumo pa s   ,nunezalonzo,es,0,4,2011-08-28 15:29:07+00:00,19,False,12,Paraguay,
503,2022-03-15 23:52:28+00:00,Oye me podrías decir desde que sexenio se subsidia la gasolina y quienes lo aprobaron. https://t.co/8bRrjdlF0q,oye me podr as decir desde que sexenio se subsidia la gasolina y quienes lo aprobaron   ,Hectorpy33,es,0,0,2015-09-29 21:38:11+00:00,1160,False,169711,Izucar de matamoros ,
507,2022-03-15 23:52:24+00:00,@Diotimais Querían que la gasolina estuviera a $45/litro para poder criticar al gobierno,  quer an que la gasolina estuviera a  45 litro para poder criticar al gobierno,JJohnyC,es,3,2,2015-08-03 00:48:08+00:00,259,False,3357,México,
508,2022-03-15 23:52:22+00:00,"RT @leonelangello9: ¿Coincides en que el precio de la gasolina que mantiene México frente a USA, minimizó brutalmente a la oposición?

-Síí…",  coincides en que el precio de la gasolina que mantiene m xico frente a usa  minimiz  brutalmente a la oposici n    s   ,Carlota18710711,es,0,314,2018-08-16 00:46:47+00:00,58,False,42980,,
511,2022-03-15 23:52:16+00:00,"RT @AngelVerdugoB: @JesusRCuevas 4.- Si usted se atreviere a sumar los $5.49 no cobrados del IEPS y los $3.87 del ""estimulo"" que xe reucirí…",   4   si usted se atreviere a sumar los  5 49 no cobrados del ieps y los  3 87 del  estimulo  que xe reucir  ,Kdabra36,es,0,21,2012-05-24 20:15:59+00:00,40,False,215,,
512,2022-03-15 23:52:15+00:00,"@0scarTG En cuanto a quienes se benefician, es correcto a los que tienen auto. También a los que transportan todos los productos de primera necesidad, como alimentos, medicinas, etc. Si sube la gasolina sube el precio de los alimentos, por ejemplo.",  en cuanto a quienes se benefician  es correcto a los que tienen auto  tambi n a los que transportan todos los productos de primera necesidad  como alimentos  medicinas  etc  si sube la gasolina sube el precio de los alimentos  por ejemplo ,FernandoHaroS,es,0,0,2010-01-11 06:43:13+00:00,457,False,10549,,
513,2022-03-15 23:52:15+00:00,"Nos falta mucho en mejorar el transporte público y con esta comunicación creo que se trae abajo trabajo realizado por incentivarlos, es hora de priorizar otros modos invitar a los conductores que usen el.bus, caminen , la bici y seguro cobrando alto la gasolina.",nos falta mucho en mejorar el transporte p blico y con esta comunicaci n creo que se trae abajo trabajo realizado por incentivarlos  es hora de priorizar otros modos invitar a los conductores que usen el bus  caminen   la bici y seguro cobrando alto la gasolina ,Dani_ha,es,0,0,2009-04-28 05:09:52+00:00,55,False,1226,"Belén, Costa Rica",
515,2022-03-15 23:52:14+00:00,"RT @heartcrush469: 🔊 El Diplomático venezolano Alex Saab, fue detenido el 12 de junio 2020, mientras hacía una parada técnica para recargar…",   el diplom tico venezolano alex saab  fue detenido el 12 de junio 2020  mientras hac a una parada t cnica para recargar ,vj13oliveros,es,0,18,2015-04-22 21:42:19+00:00,457,False,33113,,
516,2022-03-15 23:52:14+00:00,"RT @AngelVerdugoB: @JesusRCuevas 3.- El ""Bajo Precio"" de la gasolina de bajo octanaje se debe, no a otra cosa, sino a que dejan de cobrar e…",   3   el  bajo precio  de la gasolina de bajo octanaje se debe  no a otra cosa  sino a que dejan de cobrar e ,Kdabra36,es,0,34,2012-05-24 20:15:59+00:00,40,False,215,,
