,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
25,2022-03-07 23:59:49+00:00,"RT @AntonioRNaranjo: La gasolina a 2 euros, el megavatio a 500. La  inflación al 7.4%. El paro real al doble de la media de Europa. Los imp…", la gasolina a 2 euros  el megavatio a 500  la  inflaci n al 7 4   el paro real al doble de la media de europa  los imp ,es,0,1892,2013-03-24 23:32:44+00:00,313,False,7098,Tenerife,
26,2022-03-07 23:59:49+00:00,@shakaran87 Si le sumas lo que gaste en gasolina cualquiera que tenga que hacer más de 100 km diarios para ir a trabajar... Y más de la mitad de todo eso son impuestos.,  si le sumas lo que gaste en gasolina cualquiera que tenga que hacer m s de 100 km diarios para ir a trabajar    y m s de la mitad de todo eso son impuestos ,es,0,0,2011-08-03 16:33:52+00:00,245,False,6828,,
30,2022-03-07 23:59:43+00:00,"RT @mariafdezv: Ahora los gringos vendrán a México no solo por medicinas, sino también x gasolina ...azhi no Anlo", ahora los gringos vendr n a m xico no solo por medicinas  sino tambi n x gasolina    azhi no anlo,es,0,451,2020-02-16 03:11:40+00:00,873,False,68959,,
31,2022-03-07 23:59:43+00:00,"RT @javiagugar: Sabéis el chiste ese que decía: 
“eres más tonto que Abundio, que vendió el coche para comprar la gasolina”??
Pues no era t…", sab is el chiste ese que dec a    eres m s tonto que abundio  que vendi  el coche para comprar la gasolina    pues no era t ,es,0,9,2020-03-04 22:20:44+00:00,131,False,11980,,
32,2022-03-07 23:59:42+00:00,/DESASTRE PARA GASOLINA EN NUEVA ESPARTA/ https://t.co/crmzcxkLnU, desastre para gasolina en nueva esparta   ,es,0,0,2011-05-17 17:11:47+00:00,7109,False,51,,
33,2022-03-07 23:59:42+00:00,"RT @adolfoalmogavar: Que en España, de 50€ de gasolina, 27€ sean de impuestos, es culpa de Putin.
#Agenda2030", que en espa a  de 50  de gasolina  27  sean de impuestos  es culpa de putin   agenda2030,es,0,2978,2019-03-09 01:48:32+00:00,23,False,4140,villam,
35,2022-03-07 23:59:40+00:00,"RT @Supertramp9713: Gasolina: 1'80€/l
Luz: 545€/MWh
Butano: 21€ la bombona
Alquiler: &gt;500€/mes

Mil euristas: https://t.co/XoDgaDiLO9", gasolina  1 80  l luz  545  mwh butano  21  la bombona alquiler   gt 500  mes  mil euristas   ,es,0,6489,2011-01-06 14:55:37+00:00,439,False,50010,En tu subconsciente ,
38,2022-03-07 23:59:39+00:00,"RT @ElizaMarquesa: @LuisaElenaNuez1 Horrible hoy los precios como si ya el aumento llegó a las cuentas de uno.
Esos asiaticos están como lo…",   horrible hoy los precios como si ya el aumento lleg  a las cuentas de uno  esos asiaticos est n como lo ,es,0,3,2021-10-25 16:54:55+00:00,1841,False,35088,,
39,2022-03-07 23:59:38+00:00,"RT @LuisChataing: Le prometí a mi esposa una noche especial, pienso tirar la casa por la ventana, la llevaré a la estación de servicio a po…", le promet  a mi esposa una noche especial  pienso tirar la casa por la ventana  la llevar  a la estaci n de servicio a po ,es,0,19,2010-06-26 16:04:07+00:00,298,False,74574,"Barquisimeto, Venezuela ",
40,2022-03-07 23:59:38+00:00,RT @McpAtletico: Esto no va a parar de subir #gasolina #GobiernoDimision https://t.co/LvFopBV2xb, esto no va a parar de subir  gasolina  gobiernodimision  ,es,0,241,2015-02-24 18:23:33+00:00,90,False,5707,,
41,2022-03-07 23:59:38+00:00,RT @TicoTrafico: (cristianjbcr_) 🚗😰 #gasolina https://t.co/QbV4CLfc3B,  cristianjbcr       gasolina  ,es,0,24,2009-12-17 16:39:36+00:00,61,False,4403,"Ciudad de Guatemala, Guatemala",
42,2022-03-07 23:59:37+00:00,"RT @BibiMonteroDR: Bajen la gasolina! Ellos la subieron

Vendan el avión! Ellos lo compraron

Den Medicinas a niños con cáncer! Ellos les d…", bajen la gasolina  ellos la subieron  vendan el avi n  ellos lo compraron  den medicinas a ni os con c ncer  ellos les d ,es,0,1908,2010-07-10 06:13:35+00:00,63,False,740,,
