,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
19,2022-03-09 23:59:44+00:00,RT @juliomdwz: si te recoge en coche tal y como está la gasolina… es ahí bro, si te recoge en coche tal y como est  la gasolina  es ah  bro,es,0,93,2017-10-04 21:08:23+00:00,115,False,47,,
20,2022-03-09 23:59:38+00:00,La gasolina jamás va a bajar a 14 pesos como él lo prometió https://t.co/uT32PXbPOi,la gasolina jam s va a bajar a 14 pesos como  l lo prometi   ,es,0,0,2020-06-23 20:35:29+00:00,2,False,35,,
21,2022-03-09 23:59:38+00:00,"RT @R0L0D_: Políticos y gobernantes robando millones de euros a la población, gasolina, luz, todo por las nubes.

Y la gente gritando “GOL”…", pol ticos y gobernantes robando millones de euros a la poblaci n  gasolina  luz  todo por las nubes   y la gente gritando  gol  ,es,0,38,2020-05-05 18:55:46+00:00,3134,False,37410,"Bilbao, España",
22,2022-03-09 23:59:37+00:00,"RT @McMinnsWorld: Traducción: en dos meses, se duplica el precio de la luz y la gasolina.", traducci n  en dos meses  se duplica el precio de la luz y la gasolina ,es,0,204,2013-09-19 17:41:02+00:00,711,False,30857,no buscar,
23,2022-03-09 23:59:35+00:00,"RT @IrinaMar10: Biden declaró que los precios de la gasolina para los estadounidenses subirán, las autoridades estadounidenses no pueden ha…", biden declar  que los precios de la gasolina para los estadounidenses subir n  las autoridades estadounidenses no pueden ha ,es,0,225,2021-02-12 18:58:31+00:00,768,False,35704,,
24,2022-03-09 23:59:35+00:00,"RT @HectorAtarrabia: ¡Qué horror!
Los fachitos tenían razón: ya somos como Venezuela, los gringos vienen a cargar gasolina acá.
😱",  qu  horror  los fachitos ten an raz n  ya somos como venezuela  los gringos vienen a cargar gasolina ac    ,es,0,585,2020-05-06 04:43:53+00:00,185,False,25606,,
26,2022-03-09 23:59:33+00:00,"RT @Apariciolopezde: El galón de gasolina puede llegar a 50 quetzales en los próximos días.
42% de lo que cuesta la gasolina son impuestos.…", el gal n de gasolina puede llegar a 50 quetzales en los pr ximos d as  42  de lo que cuesta la gasolina son impuestos  ,es,0,11,2014-09-27 18:20:27+00:00,80,False,6559,Guatemala,
28,2022-03-09 23:59:33+00:00,"RT @mikelayestaran: A nosotros nos preocupan los precios de la gasolina, el gas, el aceite de girasol…
A los ucranianos les preocupa sobrev…", a nosotros nos preocupan los precios de la gasolina  el gas  el aceite de girasol  a los ucranianos les preocupa sobrev ,es,0,596,2014-10-12 18:54:03+00:00,65,False,11702,"Santa Cruz de Tenerife, Islas ",
29,2022-03-09 23:59:32+00:00,RT @MSEQUEYRO: Con todo lo que vemos hoy le seguirán creyendo a sus chayoteros  de que apostarle a Pemex es obsoleto. Los gringos viniendo…, con todo lo que vemos hoy le seguir n creyendo a sus chayoteros  de que apostarle a pemex es obsoleto  los gringos viniendo ,es,0,194,2022-02-09 20:01:53+00:00,1055,False,995,,
30,2022-03-09 23:59:31+00:00,"RT @christinalosada: Hay mucho moralista diciendo que la subida del gas, electricidad, gasolina, etc es el precio que hemos de pagar por so…", hay mucho moralista diciendo que la subida del gas  electricidad  gasolina  etc es el precio que hemos de pagar por so ,es,0,36,2015-02-04 23:20:07+00:00,1884,False,154306,"España, Alemania",
