,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-30 23:59:58+00:00,RT @neondemonsaq: Pescadores artesanales de Ventanilla denuncian que aún no son incluidos en el padrón de afectados por el derrame de petró…, pescadores artesanales de ventanilla denuncian que a n no son incluidos en el padr n de afectados por el derrame de petr  ,Manuel51449014,es,0,101,2017-03-26 18:32:11+00:00,1627,False,12226,,,1509319556703129607
1,2022-03-30 23:59:57+00:00,RT @maxtropiero_: Es en base a estos hallazgos que el INTN elaboró la norma de aplicación de distancias mínimas entre estaciones de combust…, es en base a estos hallazgos que el intn elabor  la norma de aplicaci n de distancias m nimas entre estaciones de combust ,ManuChavez77,es,0,129,2011-09-13 00:21:52+00:00,330,False,9620,Asuncion,,1509319551447552002
2,2022-03-30 23:59:55+00:00,"RT @francescaraffo: Hoy, luego de dos meses, liberaron a 39 aves víctimas del derrame de petróleo de Repsol. Gran trabajo de profesionales…", hoy  luego de dos meses  liberaron a 39 aves v ctimas del derrame de petr leo de repsol  gran trabajo de profesionales ,HeinzPino,es,0,1597,2013-04-21 11:01:22+00:00,300,False,21294,,,1509319544405467139
3,2022-03-30 23:59:54+00:00,"@toxosoutos @OscarJugon @AntonioMautor Perdóname,  entonces el trabajador tiene que votsr a la izda: 3,5 millones de parados, llamada de inmigrantes para que los sueldos sean de miseria, sectores econ.  relevantes:prostitución, chapuzas y bares, no tener calefaccion por el precio del combustible,lavar a mano y vivir",      perd name   entonces el trabajador tiene que votsr a la izda  3 5 millones de parados  llamada de inmigrantes para que los sueldos sean de miseria  sectores econ   relevantes prostituci n  chapuzas y bares  no tener calefaccion por el precio del combustible lavar a mano y vivir,TeresaM49993640,es,2,1,2022-02-16 11:01:40+00:00,2,False,192,Spain,,1509319537761656842
4,2022-03-30 23:59:52+00:00,Che alguien que le avisé al gobierno que si le afloja al IMESI pueden bajar los combustibles al menos hasta que baje el petróleo.,che alguien que le avis  al gobierno que si le afloja al imesi pueden bajar los combustibles al menos hasta que baje el petr leo ,Leolopez1995,es,0,0,2020-09-26 22:21:58+00:00,347,False,6952,,,1509319529557417990
5,2022-03-30 23:59:50+00:00,"RT @NestorLReverol: 📍Reordenamiento del transporte público y del aeropuerto de la entidad

📍Implementación del Plan Sembrando Vida en la Cu…",  reordenamiento del transporte p blico y del aeropuerto de la entidad   implementaci n del plan sembrando vida en la cu ,UUrley,es,0,116,2022-03-19 23:03:47+00:00,54,False,0,,,1509319520305000455
6,2022-03-30 23:59:47+00:00,RT @DavidRa30114324: A esta #reforma el @AccionNacional @PRI_Nacional @SenadoresPRD  se oponen igual ala #ReformaElectrica  quieren que ust…, a esta  reforma el     nacional    se oponen igual ala  reformaelectrica  quieren que ust ,AlphaGoblin,es,0,17,2010-09-11 02:30:55+00:00,4129,False,467603,Latinoamérica,,1509319507323473921
7,2022-03-30 23:59:46+00:00,RT @brunosgarzini: Rusia le propuso a India un sistema de pagos para compras armas y petróleo ruso. Se pondrían rupias en un banco ruso que…, rusia le propuso a india un sistema de pagos para compras armas y petr leo ruso  se pondr an rupias en un banco ruso que ,Chinchu2870,es,0,892,2017-08-20 23:43:20+00:00,2414,False,242207,,,1509319505041895430
8,2022-03-30 23:59:43+00:00,@edgerome Simple.  Quieren que le siga dando gas y petróleo.  A nadie le importa Ucrania.  Se llama libre mercado y me cago en vos mientras a mi me vaya bien.,  simple   quieren que le siga dando gas y petr leo   a nadie le importa ucrania   se llama libre mercado y me cago en vos mientras a mi me vaya bien ,alehansen609,es,1,0,2012-09-07 01:20:20+00:00,36,False,5613,,,1509319494161817606
10,2022-03-30 23:59:36+00:00,"@LaVozMelo O q vayan a acegua q allá es más barata, a no, es verdad q en Brasil ahora está más cara q acá ,todo x culpa d la luc. Ni q el petróleo hubiese subido a más d u$s 150",  o q vayan a acegua q all  es m s barata  a no  es verdad q en brasil ahora est  m s cara q ac   todo x culpa d la luc  ni q el petr leo hubiese subido a m s d u s 150,ElSobrino15,es,0,0,2018-11-04 20:15:06+00:00,8,False,2027,,,1509319463128109059
11,2022-03-30 23:59:33+00:00,"@ActualidadRT's account has been withheld in Belgium, Austria, Bulgaria, Sweden, Croatia, Spain, Slovenia, Cyprus, Slovakia, Czech Republic, Romania, Portugal, Poland, Denmark, Netherlands, Estonia, Malta, Luxembourg, Finland, France, Lithuania, Germany, Greece, Latvia, Hungary, Italy, Ireland in response to a legal demand. Learn more.",  s account has been withheld in belgium  austria  bulgaria  sweden  croatia  spain  slovenia  cyprus  slovakia  czech republic  romania  portugal  poland  denmark  netherlands  estonia  malta  luxembourg  finland  france  lithuania  germany  greece  latvia  hungary  italy  ireland in response to a legal demand  learn more ,javdom72,es,0,62,2009-12-10 19:47:22+00:00,83,False,8365,Veracruz,,1509319452231450627
12,2022-03-30 23:59:31+00:00,"RT @veronicacamino: En #Mérida, un ayuntamiento PANISTA dio permiso de construir el COSTCO sobre un #cenote, sí sobre una cueva, después, h…", en  m rida  un ayuntamiento panista dio permiso de construir el costco sobre un  cenote  s  sobre una cueva  despu s  h ,Hectorpy33,es,0,151,2015-09-29 21:38:11+00:00,1175,False,173591,Izucar de matamoros ,,1509319444262268928
13,2022-03-30 23:59:24+00:00,"@Nataliabrites5 @TVCIUDADuy Pasa que durante el gobierno del FA te subían la nafta a pesar de la baja del petróleo. 
Hay una gran diferencia cuando te roban descaradamente a cuando hay una coyuntura internacional de crisis.",    pasa que durante el gobierno del fa te sub an la nafta a pesar de la baja del petr leo   hay una gran diferencia cuando te roban descaradamente a cuando hay una coyuntura internacional de crisis ,alepaz2012,es,0,0,2014-10-18 01:51:30+00:00,450,False,25047,Uruguay,,1509319412050014208
14,2022-03-30 23:59:23+00:00,"RT @mishasarmiento: Esta es la deuda pública que nos dejó Correa y Moreno, en donde se comprometió nuestro petróleo. Hoy la Comisión de Fis…", esta es la deuda p blica que nos dej  correa y moreno  en donde se comprometi  nuestro petr leo  hoy la comisi n de fis ,AlgoBigoton,es,0,474,2011-04-24 01:50:57+00:00,107763,False,294,"Guayas, Ecuador",,1509319407033593865
15,2022-03-30 23:59:13+00:00,"#DESTACADO #Villeta La Concejala Abog. Laura Acosta solicitó un informe al Ejecutivo Municipal sobre el uso del tractor agrícola, pues los productores están pagando un monto para el combustible de dicha máquina. Pues existe un rubro de combustible para el tractor. https://t.co/z700rr7cFU", destacado  villeta la concejala abog  laura acosta solicit  un informe al ejecutivo municipal sobre el uso del tractor agr cola  pues los productores est n pagando un monto para el combustible de dicha m quina  pues existe un rubro de combustible para el tractor   ,CamusClickPy,es,0,0,2014-09-03 23:02:46+00:00,560,False,1948,Villeta Central ,,1509319367451885569
16,2022-03-30 23:59:12+00:00,RT @descifraguerra: 🇱🇰 Sri Lanka sufrió ayer 10 horas de cortes eléctricos por la escasez de combustible y de divisas. El presidente de Pub…,    sri lanka sufri  ayer 10 horas de cortes el ctricos por la escasez de combustible y de divisas  el presidente de pub ,fquebin,es,0,30,2012-04-10 02:19:43+00:00,162,False,23407,Ecuador,,1509319363215728645
17,2022-03-30 23:59:12+00:00,"RT @apoyocanino: Recuerdan al perrito que quemaron con gasolina en Mérida?
Gracias a la dedicación y al amor sus heridas están sanando
Quie…", recuerdan al perrito que quemaron con gasolina en m rida  gracias a la dedicaci n y al amor sus heridas est n sanando quie ,derr1972,es,0,1301,2014-02-27 01:15:12+00:00,57,False,15338,,,1509319362443984899
19,2022-03-30 23:59:09+00:00,¡Querrás ir a esa época por combustible! https://t.co/IQidFoXdYb, querr s ir a esa  poca por combustible   ,OinkOinkMX,es,0,0,2019-04-08 19:47:25+00:00,1075,False,23,,,1509319351727448065
